"location","Date","Value"
"Congo",2016,2223.094775
"Rwanda",2016,4824.474308
"Ghana",2016,3812.189298
"Algeria",2016,20995.678975
"South Africa",2016,16515.287593
"Egypt",2016,28209.534231
"Guinea",2016,1185.964064
"Angola",2016,2909.117483
"Central African Republic",2016,671.263273
"Togo",2016,2088.669684
"Sierra Leone",2016,3418.547902
"Eritrea",2016,1584.32179
"Kenya",2016,12328.045423
"Gambia",2016,182.944551
"Cabo Verde",2016,190.997637
"Côte d'Ivoire",2016,7353.524529
"Cameroon",2016,8802.550025
"Ethiopia",2016,17614.502422
"Burundi",2016,1825.448156
"Mali",2016,7514.992686
"Chad",2016,4947.291104
"Benin",2016,3381.470754
"Equatorial Guinea",2016,108.877374
"Zimbabwe",2016,1248.416499
"Malawi",2016,5053.296101
"Mozambique",2016,5017.570817
"Niger",2016,6256.691506
"Guinea-Bissau",2016,1361.636859
"United Republic of Tanzania",2016,8399.174687
"Senegal",2016,1170.652325
"Zambia",2016,2287.360943
"Mauritius",2016,1732.879714
"Seychelles",2016,11.546523
"Tunisia",2016,4386.663094
"Botswana",2016,59.713252
"Nigeria",2016,30997.916694
"Morocco",2016,11122.790416
"Namibia",2016,250.244807
"Kazakhstan",2016,8324.960833
"Japan",2016,87344.387746
"Mongolia",2016,1046.887231
"Pakistan",2016,49911.883292
"Armenia",2016,2192.724789
"Bangladesh",2016,22338.274672
"Sri Lanka",2016,4400.744456
"Bhutan",2016,460.848118
"Tajikistan",2016,1727.181287
"India",2016,358081.17489
"Turkmenistan",2016,2709.380697
"Georgia",2016,813.702778
"Kyrgyzstan",2016,2321.026024
"Azerbaijan",2016,3124.703299
"Maldives",2016,5.244202
"Republic of Korea",2016,36889.821472
"Nepal",2016,8457.364717
"China",2016,1229905.387638
"Antigua and Barbuda",2016,18.921156
"Barbados",2016,143.29201
"Grenada",2016,67.489714
"Saint Kitts and Nevis",2016,11.7525
"Saint Lucia",2016,63.348161
"Saint Vincent and the Grenadines",2016,89.438125
"Dominican Republic",2016,3654.180172
"Jamaica",2016,1796.215249
"Costa Rica",2016,5208.878248
"Panama",2016,2290.655974
"Honduras",2016,3112.346245
"Nicaragua",2016,2001.138215
"Belize",2016,227.392139
"Trinidad and Tobago",2016,445.618648
"Puerto Rico",2016,784.49766
"Switzerland",2016,7526.335995
"France",2016,66138.521708
"Luxembourg",2016,249.398396
"Malta",2016,141.7126
"Belarus",2016,10655.116018
"Italy",2016,47173.880068
"Spain",2016,34987.732604
"Netherlands",2016,16617.430403
"Poland",2016,19870.241211
"Belgium",2016,7633.00873
"Bulgaria",2016,3930.842513
"Hungary",2016,6349.754371
"Sweden",2016,3821.851543
"Czechia",2016,4571.071049
"Denmark",2016,8043.966475
"Portugal",2016,6718.785015
"Romania",2016,14868.651543
"Austria",2016,6092.895441
"Greece",2016,15218.554519
"Slovakia",2016,1911.229196
"Estonia",2016,677.775373
"Ireland",2016,6502.414683
"Lithuania",2016,2181.521983
"Latvia",2016,1039.923152
"Norway",2016,3523.447007
"Russian Federation",2016,70644.657164
"Croatia",2016,1600.282581
"Ukraine",2016,26923.412986
"Republic of Moldova",2016,1187.845624
"The former Yugoslav Republic of Macedonia",2016,997.389982
"Albania",2016,2222.107115
"Bosnia and Herzegovina",2016,1365.532661
"Serbia",2016,4830.445688
"Iceland",2016,267.122651
"Finland",2016,2890.24893
"United Kingdom",2016,24750.934932
"Slovenia",2016,887.843249
"Germany",2016,44448.402756
"Canada",2016,39433.411444
"Mexico",2016,45341.587645
"United States of America",2016,327504.241703
"Oceania",2016,46337.237666
"Vanuatu",2016,143.337808
"Samoa",2016,131.687945
"Australia",2016,33013.120233
"New Zealand",2016,12348.966507
"Fiji",2016,611.911103
"China, Hong Kong SAR",2016,109.108608
"Philippines",2016,30967.848237
"Malaysia",2016,23656.069412
"Thailand",2016,37106.504182
"Singapore",2016,64.996138
"Viet Nam",2016,43311.605142
"Lao People's Democratic Republic",2016,5811.122076
"Timor-Leste",2016,161.925825
"Brunei Darussalam",2016,157.787173
"Cambodia",2016,8839.593289
"Indonesia",2016,137478.785986
"Brazil",2016,165848.046732
"Argentina",2016,39667.717047
"Chile",2016,15719.783352
"Colombia",2016,17632.23031
"Peru",2016,13918.152076
"Ecuador",2016,8317.597275
"Paraguay",2016,6776.676016
"Uruguay",2016,4571.00625
"Bolivia (Plurinational State of)",2016,5341.232838
"Guyana",2016,332.230581
"Suriname",2016,193.109558
"Cyprus",2016,596.016376
"Turkey",2016,66717.422174
"Yemen",2016,6896.309233
"Kuwait",2016,300.080659
"Oman",2016,156.821569
"Qatar",2016,133.413374
"Iraq",2016,3472.718822
"Iran (Islamic Republic of)",2016,48292.64043
"Israel",2016,6819.183851
"Jordan",2016,3143.249819
"Lebanon",2016,2085.542094
"Saudi Arabia",2016,11294.81309
