"Nation","Year","Total.CO2.emissions.from.fossil.fuels.and.cement.production..thousand.metric.tons.of.C."
"AFGHANISTAN",2003,326
"ALBANIA",2003,1171
"ALGERIA",2003,24973
"ANDORRA",2003,146
"ANGOLA",2003,2472
"ANGUILLA",2003,28
"ANTARCTIC FISHERIES",2003,1
"ANTIGUA & BARBUDA",2003,110
"ARGENTINA",2003,36832
"ARMENIA",2003,935
"ARUBA",2003,699
"AUSTRALIA",2003,91702
"AUSTRIA",2003,19688
"AZERBAIJAN",2003,8349
"BAHAMAS",2003,414
"BAHRAIN",2003,4491
"BANGLADESH",2003,9728
"BARBADOS",2003,346
"BELARUS",2003,14598
"BELGIUM",2003,30792
"BELIZE",2003,118
"BENIN",2003,642
"BERMUDA",2003,153
"BHUTAN",2003,103
"BOSNIA & HERZEGOVINA",2003,3951
"BOTSWANA",2003,1044
"BRAZIL",2003,87707
"BRITISH VIRGIN ISLANDS",2003,33
"BRUNEI (DARUSSALAM)",2003,1252
"BULGARIA",2003,12901
"BURKINA FASO",2003,294
"BURUNDI",2003,44
"CAMBODIA",2003,649
"CANADA",2003,150832
"CAPE VERDE",2003,84
"CAYMAN ISLANDS",2003,135
"CENTRAL AFRICAN REPUBLIC",2003,64
"CHAD",2003,104
"CHILE",2003,15163
"CHINA (MAINLAND)",2003,1238183
"COLOMBIA",2003,15659
"COMOROS",2003,36
"CONGO",2003,250
"COOK ISLANDS",2003,9
"COSTA RICA",2003,1807
"COTE D IVOIRE",2003,1489
"CROATIA",2003,6268
"CUBA",2003,6950
"CYPRUS",2003,2113
"CZECH REPUBLIC",2003,33286
"DEMOCRATIC PEOPLE S REPUBLIC OF KOREA",2003,19294
"DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)",2003,269
"DENMARK",2003,15271
"DJIBOUTI",2003,115
"DOMINICA",2003,32
"DOMINICAN REPUBLIC",2003,5867
"ECUADOR",2003,7354
"EGYPT",2003,40350
"EL SALVADOR",2003,1787
"EQUATORIAL GUINEA",2003,1641
"ERITREA",2003,198
"ESTONIA",2003,4670
"ETHIOPIA",2003,1360
"FAEROE ISLANDS",2003,200
"FALKLAND ISLANDS (MALVINAS)",2003,13
"FEDERATED STATES OF MICRONESIA",2003,39
"FIJI",2003,286
"FINLAND",2003,18852
"FRANCE (INCLUDING MONACO)",2003,103815
"FRENCH GUIANA",2003,164
"FRENCH POLYNESIA",2003,210
"GABON",2003,1266
"GAMBIA",2003,79
"GEORGIA",2003,1029
"GERMANY",2003,224383
"GHANA",2003,2081
"GIBRALTAR",2003,97
"GREECE",2003,26108
"GREENLAND",2003,145
"GRENADA",2003,59
"GUADELOUPE",2003,608
"GUATEMALA",2003,2953
"GUINEA",2003,513
"GUINEA BISSAU",2003,53
"GUYANA",2003,427
"HAITI",2003,473
"HONDURAS",2003,1846
"HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA",2003,11824
"HUNGARY",2003,16104
"ICELAND",2003,591
"INDIA",2003,299863
"INDONESIA",2003,86390
"IRAQ",2003,24848
"IRELAND",2003,11641
"ISLAMIC REPUBLIC OF IRAN",2003,114109
"ISRAEL",2003,17150
"ITALY (INCLUDING SAN MARINO)",2003,127720
"JAMAICA",2003,2909
"JAPAN",2003,338722
"JORDAN",2003,4764
"KAZAKHSTAN",2003,38781
"KENYA",2003,1842
"KIRIBATI",2003,11
"KUWAIT",2003,16341
"KYRGYZSTAN",2003,1483
"LAO PEOPLE S DEMOCRATIC REPUBLIC",2003,300
"LATVIA",2003,2010
"LEBANON",2003,4958
"LESOTHO",2003,527
"LIBERIA",2003,142
"LIBYAN ARAB JAMAHIRIYAH",2003,13408
"LITHUANIA",2003,3497
"LUXEMBOURG",2003,2701
"MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA",2003,418
"MACEDONIA",2003,3084
"MADAGASCAR",2003,464
"MALAWI",2003,250
"MALAYSIA",2003,43157
"MALDIVES",2003,138
"MALI",2003,230
"MALTA",2003,704
"MARSHALL ISLANDS",2003,23
"MARTINIQUE",2003,545
"MAURITANIA",2003,379
"MAURITIUS",2003,835
"MEXICO",2003,120046
"MONGOLIA",2003,2191
"MONTSERRAT",2003,10
"MOROCCO",2003,10243
"MOZAMBIQUE",2003,523
"MYANMAR (FORMERLY BURMA)",2003,2685
"NAMIBIA",2003,511
"NAURU",2003,18
"NEPAL",2003,775
"NETHERLAND ANTILLES",2003,1504
"NETHERLANDS",2003,49688
"NEW CALEDONIA",2003,747
"NEW ZEALAND",2003,9294
"NICARAGUA",2003,1203
"NIGER",2003,207
"NIGERIA",2003,27711
"NIUE",2003,1
"NORWAY",2003,12332
"OCCUPIED PALESTINIAN TERRITORY",2003,349
"OMAN",2003,8833
"PAKISTAN",2003,32423
"PALAU",2003,69
"PANAMA",2003,1678
"PAPUA NEW GUINEA",2003,1076
"PARAGUAY",2003,1110
"PERU",2003,7194
"PHILIPPINES",2003,19478
"PLURINATIONAL STATE OF BOLIVIA",2003,3025
"POLAND",2003,82425
"PORTUGAL",2003,16694
"QATAR",2003,11323
"REPUBLIC OF CAMEROON",2003,1035
"REPUBLIC OF KOREA",2003,127138
"REPUBLIC OF MOLDOVA",2003,1170
"REUNION",2003,812
"ROMANIA",2003,27560
"RUSSIAN FEDERATION",2003,437481
"RWANDA",2003,142
"SAINT HELENA",2003,3
"SAINT LUCIA",2003,98
"SAMOA",2003,42
"SAO TOME & PRINCIPE",2003,18
"SAUDI ARABIA",2003,89248
"SENEGAL",2003,1357
"SEYCHELLES",2003,150
"SIERRA LEONE",2003,178
"SINGAPORE",2003,8490
"SLOVAKIA",2003,10770
"SLOVENIA",2003,4230
"SOLOMON ISLANDS",2003,44
"SOMALIA",2003,162
"SOUTH AFRICA",2003,110297
"SPAIN",2003,87564
"SRI LANKA",2003,3021
"ST. KITTS-NEVIS",2003,54
"ST. PIERRE & MIQUELON",2003,18
"ST. VINCENT & THE GRENADINES",2003,54
"SUDAN",2003,2474
"SURINAME",2003,421
"SWAZILAND",2003,284
"SWEDEN",2003,14939
"SWITZERLAND",2003,10956
"SYRIAN ARAB REPUBLIC",2003,14801
"TAIWAN",2003,67239
"TAJIKISTAN",2003,566
"THAILAND",2003,61242
"TIMOR-LESTE (FORMERLY EAST TIMOR)",2003,44
"TOGO",2003,399
"TONGA",2003,32
"TRINIDAD AND TOBAGO",2003,8723
"TUNISIA",2003,5794
"TURKEY",2003,59592
"TURKMENISTAN",2003,12163
"TURKS AND CAICOS ISLANDS",2003,28
"TUVALU",2003,3
"UGANDA",2003,436
"UKRAINE",2003,96109
"UNITED ARAB EMIRATES",2003,29136
"UNITED KINGDOM",2003,147261
"UNITED REPUBLIC OF TANZANIA",2003,1038
"UNITED STATES OF AMERICA",2003,1547778
"URUGUAY",2003,1254
"UZBEKISTAN",2003,34672
"VANUATU",2003,23
"VENEZUELA",2003,52387
"VIET NAM",2003,21480
"WALLIS AND FUTUNA ISLANDS",2003,7
"YEMEN",2003,4719
"YUGOSLAVIA (MONTENEGRO & SERBIA)",2003,13787
"ZAMBIA",2003,576
"ZIMBABWE",2003,2906
