"iso","treecover_loss__ha","treecover_loss__year"
"ABW",0.526107731559757,2002
"AFG",178.640363847429,2002
"AGO",61034.2272658808,2002
"AIA",0.146329650800773,2002
"ALA",277.819877056133,2002
"ALB",889.517115480973,2002
"AND",1.25502222353962,2002
"ARG",105001.862245915,2002
"ARM",172.538591177977,2002
"ATG",17.6560416525255,2002
"AUS",312151.115353411,2002
"AUT",10902.1498770533,2002
"AZE",1154.20594286664,2002
"BDI",986.936212552714,2002
"BEL",2348.39059565746,2002
"BEN",3480.18734608751,2002
"BES",2.10645745746639,2002
"BFA",4.3029108998203,2002
"BGD",3995.28757381412,2002
"BGR",4638.73881243054,2002
"BHS",700.976136521111,2002
"BIH",692.658855824359,2002
"BLR",25383.4157015568,2002
"BLZ",13473.7305105888,2002
"BMU",0.717959401926032,2002
"BOL",178807.97117096,2002
"BRA",3507049.44035902,2002
"BRB",11.3919815607421,2002
"BRN",1088.8455974205,2002
"BTN",223.934881538523,2002
"BWA",22.7889986253774,2002
"CAF",34417.7216076484,2002
"CAN",2316887.66533414,2002
"CHE",881.303902688893,2002
"CHL",78080.9729822513,2002
"CHN",249150.960080458,2002
"CIV",144559.907509213,2002
"CMR",28766.9515705045,2002
"COD",514476.688199549,2002
"COG",24310.1423799748,2002
"COL",182229.152447899,2002
"COM",41.2039342342539,2002
"CPV",22.8340030973002,2002
"CRI",13289.1490861028,2002
"CUB",15035.8473832003,2002
"CUW",1.27928368843911,2002
"CYM",5.59824441706594,2002
"CYP",31.7432440210416,2002
"CZE",6766.43790820177,2002
"DEU",15303.2623748915,2002
"DMA",11.8747080399387,2002
"DNK",1204.48993902541,2002
"DOM",10435.9798696616,2002
"DZA",3009.83312064488,2002
"ECU",29817.7377164137,2002
"EGY",48.813250582908,2002
"ESP",37699.0198096384,2002
"EST",21918.3864540135,2002
"ETH",13074.0874089759,2002
"FIN",142432.404048699,2002
"FJI",703.209939141221,2002
"FRA",33888.3971718411,2002
"GAB",13851.8466616642,2002
"GBR",20112.3499597052,2002
"GEO",536.442198025113,2002
"GGY",0.0503476174934867,2002
"GHA",78395.0529835592,2002
"GIB",0.124829410347215,2002
"GIN",28933.4742898711,2002
"GLP",50.885418957841,2002
"GMB",40.1576407396371,2002
"GNB",6073.7972589198,2002
"GNQ",2986.11054417851,2002
"GRC",5126.04931313981,2002
"GRD",65.8377468629773,2002
"GTM",55600.9346132452,2002
"GUF",2496.70374892982,2002
"GUY",4827.3949791997,2002
"HKG",15.6115564082966,2002
"HND",31528.0123278304,2002
"HRV",2340.17949217578,2002
"HTI",2120.38050483912,2002
"HUN",7711.03736961176,2002
"IDN",855275.863033736,2002
"IMN",13.6648597992485,2002
"IND",53005.4877429905,2002
"IRL",5298.28093939798,2002
"IRN",557.752371047783,2002
"IRQ",10.6200603149599,2002
"ISR",111.730678502103,2002
"ITA",10931.2275539192,2002
"JAM",1647.5706370803,2002
"JEY",0.810373893971308,2002
"JOR",0.196107558324642,2002
"JPN",26154.0398337163,2002
"KAZ",2952.30662372458,2002
"KEN",20287.5262199962,2002
"KGZ",305.457479793395,2002
"KHM",54862.0762004133,2002
"KNA",19.7907505767352,2002
"KOR",4705.32687187346,2002
"LAO",55936.7307127177,2002
"LBN",81.2004590356723,2002
"LBR",56984.423820343,2002
"LBY",40.245663534418,2002
"LCA",10.9109680932236,2002
"LKA",3427.68038552629,2002
"LSO",2.68713956362206,2002
"LTU",10344.8381897492,2002
"LUX",90.4569151631086,2002
"LVA",29175.9881943402,2002
"MAC",0.928207381015836,2002
"MAF",5.41884667415768,2002
"MAR",3923.51782711295,2002
"MDA",229.796420697597,2002
"MDG",89317.5141867466,2002
"MDV",4.58815494648061,2002
"MEX",158834.125381623,2002
"MKD",890.183763545838,2002
"MLI",175.290442834184,2002
"MLT",1.75296139854166,2002
"MMR",66119.6807080812,2002
"MNE",179.620771214931,2002
"MNG",18728.0199549391,2002
"MOZ",106658.337632297,2002
"MSR",1.62272987035147,2002
"MTQ",48.8622487099035,2002
"MUS",154.429960530353,2002
"MWI",4189.57262799269,2002
"MYS",312553.787332767,2002
"MYT",20.8691903627401,2002
"NAM",108.007218227635,2002
"NCL",626.868058789584,2002
"NER",0.676416443585574,2002
"NGA",32346.7100639561,2002
"NIC",54194.4946896578,2002
"NLD",824.581358561401,2002
"NOR",26635.7531946296,2002
"NPL",2128.64330964921,2002
"NZL",63227.9271041144,2002
"PAK",325.011752415108,2002
"PAN",19200.1371790057,2002
"PER",80452.0858187252,2002
"PHL",32309.1892616156,2002
"PLW",75.3007710379315,2002
