"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WASTEMUN","TOT","THND_TONNE","A","1980",10000,"E"
"AUS","WASTEMUN","TOT","THND_TONNE","A","1992",12000,"E"
"AUS","WASTEMUN","TOT","THND_TONNE","A","2000",13200,"E"
"AUS","WASTEMUN","TOT","THND_TONNE","A","2007",12873,
"AUS","WASTEMUN","TOT","THND_TONNE","A","2008",13096.5,
"AUS","WASTEMUN","TOT","THND_TONNE","A","2009",13320,
"AUS","WASTEMUN","TOT","THND_TONNE","A","2010",13534,
"AUS","WASTEMUN","TOT","THND_TONNE","A","2011",13450,
"AUS","WASTEMUN","TOT","THND_TONNE","A","2012",13572.333,
"AUS","WASTEMUN","TOT","THND_TONNE","A","2013",13694.667,
"AUS","WASTEMUN","TOT","THND_TONNE","A","2014",13817,
"AUS","WASTEMUN","TOT","THND_TONNE","A","2015",14003,
"AUS","WASTEMUN","TOT","THND_TONNE","A","2016",13539,
"AUS","WASTEMUN","TOT","THND_TONNE","A","2017",13751,
"AUS","WASTEMUN","TOT","KG_CAP","A","1980",685.476,"E"
"AUS","WASTEMUN","TOT","KG_CAP","A","1992",689.569,"E"
"AUS","WASTEMUN","TOT","KG_CAP","A","2000",695.05,"E"
"AUS","WASTEMUN","TOT","KG_CAP","A","2007",615.452,
"AUS","WASTEMUN","TOT","KG_CAP","A","2008",613.929,
"AUS","WASTEMUN","TOT","KG_CAP","A","2009",612.39,
"AUS","WASTEMUN","TOT","KG_CAP","A","2010",610.887,
"AUS","WASTEMUN","TOT","KG_CAP","A","2011",596.77,
"AUS","WASTEMUN","TOT","KG_CAP","A","2012",592.576,
"AUS","WASTEMUN","TOT","KG_CAP","A","2013",588.894,
"AUS","WASTEMUN","TOT","KG_CAP","A","2014",585.555,
"AUS","WASTEMUN","TOT","KG_CAP","A","2015",585.104,
"AUS","WASTEMUN","TOT","KG_CAP","A","2016",558.017,
"AUS","WASTEMUN","TOT","KG_CAP","A","2017",559.333,
"AUT","WASTEMUN","TOT","THND_TONNE","A","1989",3150,
"AUT","WASTEMUN","TOT","THND_TONNE","A","1990",3204,
"AUT","WASTEMUN","TOT","THND_TONNE","A","1991",3126,
"AUT","WASTEMUN","TOT","THND_TONNE","A","1992",3176,
"AUT","WASTEMUN","TOT","THND_TONNE","A","1993",3341,
"AUT","WASTEMUN","TOT","THND_TONNE","A","1994",3400,
"AUT","WASTEMUN","TOT","THND_TONNE","A","1995",3476,
"AUT","WASTEMUN","TOT","THND_TONNE","A","1996",3845,
"AUT","WASTEMUN","TOT","THND_TONNE","A","1997",3977,
"AUT","WASTEMUN","TOT","THND_TONNE","A","1998",3983,
"AUT","WASTEMUN","TOT","THND_TONNE","A","1999",4171,
"AUT","WASTEMUN","TOT","THND_TONNE","A","2000",4321,
