"location","item","element","Unit","Date","Value"
"Democratic Republic of the Congo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1992","21.785876"
"Democratic Republic of the Congo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1993","23.663687"
"Congo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1991","946.119177"
"Congo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1992","1031.261109"
"Congo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1993","993.130971"
"Congo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1994","570.647038"
"Congo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1995","659.411446"
"Congo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1996","674.803374"
"Congo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1997","724.910452"
"Congo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1998","761.571801"
"Congo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1999","1022.056738"
"Congo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2000","874.140385"
"Congo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2001","802.945161"
"Congo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2002","279.994933"
"Congo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2003","377.64501"
"Congo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2004","579.111129"
"Congo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2005","754.051757"
"Congo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2006","941.38267"
"Congo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2007","1253.420003"
"Congo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2008","1630.236072"
"Congo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2009","1802.224466"
"Congo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2010","2270.691418"
"Congo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2011","2735.915905"
"Congo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2012","2909.172066"
"Congo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2013","3583.948955"
"Congo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2014","3830.868032"
"Congo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2015","2079.478277"
"Congo","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2016","2223.094775"
"Rwanda","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1991","1456.479079"
"Rwanda","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1992","1592.981349"
"Rwanda","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1993","1230.375616"
"Rwanda","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1994","1166.398269"
"Rwanda","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1995","1066.130238"
"Rwanda","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1996","983.029711"
"Rwanda","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1997","1364.73963"
"Rwanda","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1998","1534.317609"
"Rwanda","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1999","1373.911365"
"Rwanda","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2000","1296.380039"
"Rwanda","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2001","1108.095253"
"Rwanda","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2002","1211.5678"
"Rwanda","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2003","1207.654488"
"Rwanda","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2004","1319.571376"
"Rwanda","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2005","1666.569661"
"Rwanda","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2006","1944.492137"
"Rwanda","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2007","2194.666725"
"Rwanda","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2008","2669.146164"
"Rwanda","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2009","3759.22662"
"Rwanda","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2010","3984.069277"
"Rwanda","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2011","4609.29643"
"Rwanda","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2012","5439.581769"
"Rwanda","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2013","5913.965838"
"Rwanda","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2014","5194.442755"
"Rwanda","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2015","5072.971898"
"Rwanda","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2016","4824.474308"
"Ghana","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1991","6328.075354"
"Ghana","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1992","8067.742302"
"Ghana","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1993","5717.902242"
"Ghana","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1994","4079.334535"
"Ghana","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1995","4904.383022"
"Ghana","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1996","4888.575354"
"Ghana","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1997","4951.197014"
"Ghana","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1998","6390.946794"
"Ghana","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1999","4864.296854"
"Ghana","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2000","3249.928713"
"Ghana","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2001","4319.224614"
"Ghana","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2002","4332.478871"
"Ghana","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2003","4589.80507"
"Ghana","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2004","5438.233434"
"Ghana","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2005","6817.584532"
"Ghana","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2006","7399.238819"
"Ghana","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2007","8175.766225"
"Ghana","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2008","10035.464554"
"Ghana","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2009","9705.650812"
"Ghana","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2010","11744.839316"
"Ghana","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2011","13110.050009"
"Ghana","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2012","11273.328689"
"Ghana","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2013","11204.767871"
"Ghana","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2014","5365.750345"
"Ghana","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2015","3802.423708"
"Ghana","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2016","3812.189298"
"Algeria","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1991","3745.344286"
"Algeria","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1992","4869.87535"
"Algeria","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1993","4472.236958"
"Algeria","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1994","3378.528232"
"Algeria","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1995","3776.482587"
"Algeria","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1996","5677.998297"
"Algeria","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1997","4346.007232"
"Algeria","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1998","5729.705497"
"Algeria","Agriculture (PIN)","Gross Production Value (current million US$)","USD","1999","5218.161899"
"Algeria","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2000","4414.220644"
"Algeria","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2001","4691.427325"
"Algeria","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2002","5917.166599"
"Algeria","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2003","7783.578857"
"Algeria","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2004","9532.935667"
"Algeria","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2005","9546.435315"
"Algeria","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2006","10662.975943"
"Algeria","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2007","11078.876093"
"Algeria","Agriculture (PIN)","Gross Production Value (current million US$)","USD","2008","13133.243169"
