"iso","aboveground_biomass_loss__Mg","treecover_loss__ha","aboveground_co2_emissions__Mg","treecover_loss__year"
"AFG",10247.471355643014,88.09271247242818,18787.030818678868,2001
"AGO",16083306.658608384,101220.62152449827,29486062.207448706,2001
"AIA",288.61578978242727,3.878460708097651,529.1289479344498,2001
"ALA",34961.68477768484,396.93482567170076,64096.422092422195,2001
"ALB",615860.8451132022,3729.021031483717,1129078.2160408706,2001
"AND",273.4194761669196,1.654212947716936,501.2690396393526,2001
"ARG",13268809.171292588,147805.9503556371,24326150.147369754,2001
"ARM",18160.705646092625,131.84061226449543,33294.62701783648,2001
"ATG",2927.4773137096736,24.074189438288723,5367.0417418010675,2001
"AUS",16009704.575806255,218817.7741559907,29351125.055644866,2001
"AUT",1279790.6576843802,6926.269007849328,2346282.8724213634,2001
"AZE",70481.86056064826,553.2993561210784,129216.74436118844,2001
"BDI",206821.06193150702,1417.2469570863384,379171.9468744296,2001
"BEL",191837.4350978859,971.488195276318,351701.96434612403,2001
"BEN",478051.14042497077,3749.3311051827845,876427.0907791134,2001
"BES",507.4507102057462,3.0318572528930003,930.3263020438679,2001
"BFA",6076.335119252065,59.477105112378524,11139.947718628786,2001
"BGD",1048220.0416167944,4586.997202714803,1921736.7429641227,2001
"BGR",1088080.5351984329,8202.31911166023,1994814.314530461,2001
"BHS",33221.94467263783,432.9994197035569,60906.89856650266,2001
"BIH",282938.45496126334,1496.107104548275,518720.50076231564,2001
"BLR",2309333.236839127,18358.964278886404,4233777.6008717315,2001
"BLZ",1451874.465717412,8211.629492547681,2661769.8538152566,2001
"BMU",29.50421447085582,0.19581979363933033,54.09105986323567,2001
"BOL",26429745.05956223,140321.2605309791,48454532.60919741,2001
"BRA",494842681.3839968,2746361.55670612,907211582.5373267,2001
"BRB",1512.7248380703127,12.367461564155155,2773.3288697955727,2001
"BRN",355750.70162614784,1244.453822867959,652209.6196479377,2001
"BTN",75759.56668959129,297.65963149428154,138892.53893091745,2001
"BWA",9963.06925919933,130.9838814771667,18265.62697519877,2001
"CAF",6259548.18145242,31282.436853072533,11475838.332662769,2001
"CAN",114981774.02882263,1358154.7994920975,210799919.05284137,2001
"CHE",244563.91238233884,1165.2132473263046,448367.1727009545,2001
"CHL",9556729.073974611,72711.30280696682,17520669.968953457,2001
"CHN",40387339.44823389,230289.11527880258,74043455.65509546,2001
"CIV",19968554.604410984,122711.45023838057,36609016.77475348,2001
"CMR",8437551.682904735,39203.717181207685,15468844.751992024,2001
"COD",107983169.05855441,455516.738970459,197969143.27401632,2001
"COG",5996406.809919567,27030.696217873647,10993412.484852536,2001
"COL",47346193.00919143,230054.83567237694,86801353.85018444,2001
"COM",7410.688026778094,36.973693208113474,13586.261382426504,2001
"CPV",,7.136450794325831,,2001
"CRI",2918658.47426213,15461.879449467173,5350873.869480571,2001
"CUB",2258779.483338109,18942.908778027602,4141095.719453196,2001
"CUW",74.25614554014535,0.9027885255115697,136.13626682359984,2001
"CYM",1707.109183625168,20.681612199946237,3129.700169979475,2001
"CYP",7735.843180966398,78.62890207431754,14182.379165105056,2001
"CZE",602080.1784278991,3460.1425855060706,1103813.6604511482,2001
"DEU",2809020.7645876114,15286.380567887269,5149871.401743956,2001
"DMA",5645.022871467329,22.792755510800127,10349.208597690103,2001
"DNK",477170.906716343,4329.2958531879685,874813.328979962,2001
"DOM",1734355.0248989346,11246.810065544803,3179650.8789813803,2001
"DZA",365692.59647132247,3468.760252170323,670436.4268640913,2001
"ECU",10480071.631953409,45002.46870978968,19213464.65858125,2001
